Nom,Trigram,id_centre,id_agent
,,,6
BO3,BRN,,8
BO4,RCA,,9
BO5,DEI,,10
BO6,DPY,,11
BO7,FRU,,12
BO8,LTR,,13
BO9,PRD,,14
BO10,PLI,,15
BO2,PLN,,16
BO11,RLD,,17
BO12,TTS,,18
BO1,VDB,,19
TO3,DUC,,21
TO4,LEO,,22
TO1,LT3,,23
T05,MRE,,24
TO6,MCL,,25
TO7,MTO,,26
TO8,RGN,,27
TO9,TES,,28
TO10,VLO,,29
TO2,VML,,30
AI3,SEB,,32
AI4,CNE,,33
AI5,GZN,,34
AI6,GBT,,35
AI1,GBO,,36
AI7,RMZ,,37
AI2,SEG,,38
AI8,VCT,,39
BR3,AMG,,42
BR1,CMO,,43
BR2,GYN,,44
BR4,ZAK,,45
BR5,LMT,,46
CA2,CME,,49
CA3,DYR,,50
CA4,HMR,,51
CA5,LGN,,52
CA6,MCT,,53
CA7,OLI,,54
CA1,SCM,,55
IS3,ALO,,58
IS4,BLD,,59
IS5,BAC,,60
IS6,CTR,,61
IS7,CLR,,62
IS8,EMR,,63
IS2,FND,,64
IS1,FCT,,65
IS9,GJN,,66
IS10,JZN,,67
IS11,LHQ,,68
IS12,MTZ,,69
IS13,NVE,,70
IS14,PRY,,71
IS15,SCO,,72
IS16,STO,,73
IS17,TIS,,74
IS18,TRN,,75
IS19,TSL,,76
EP1,PZE,,77
EP2,VAL,,78
MO3,BDL,,81
MO2,CTA,,82
MO4,CNU,,83
MO5,DRL,,84
MO6,GRN,,85
MO1,PRS,,86
CC1,DMR,,89
CC2,DPT,,90
CC3,SDR,,91
DC1,CVI,,93
DC2,BSN,,94
DC3,FCI,,95
DC4,BSD,,96
DC5,VMX,,97
