id_agent,annee,duree,id_formation
6.0,2016,2016,1
,2016,Durée,2
8.0,2016,30,4
11.0,2016,30,5
12.0,2016,30,6
13.0,2016,30,7
15.0,2016,30,8
16.0,2016,30,9
22.0,2016,30,16
23.0,2016,30,17
27.0,2016,30,18
29.0,2016,30,19
30.0,2016,30,20
33.0,2016,30,26
34.0,2016,30,27
35.0,2016,30,28
36.0,2016,30,29
37.0,2016,30,30
38.0,2016,30,31
39.0,2016,30,32
49.0,2016,30,44
50.0,2016,30,45
51.0,2016,30,46
52.0,2016,60,47
54.0,2016,30,48
55.0,2016,30,49
58.0,2016,30,55
61.0,2016,30,56
63.0,2016,30,57
65.0,2016,60,58
66.0,2016,30,59
70.0,2016,30,60
71.0,2016,30,61
72.0,2016,30,62
75.0,2016,60,63
76.0,2016,60,64
77.0,2016,30,65
82.0,2016,30,71
86.0,2016,30,72
93.0,2016,30,78
6.0,2017,2017,85
,2017,Durée,86
8.0,2017,30,88
16.0,2017,30,89
17.0,2017,30,90
21.0,2017,30,97
22.0,2017,30,98
23.0,2017,30,99
27.0,2017,30,100
28.0,2017,30,101
29.0,2017,30,102
30.0,2017,30,103
32.0,2017,30,109
33.0,2017,30,110
34.0,2017,30,111
35.0,2017,30,112
36.0,2017,30,113
37.0,2017,30,114
38.0,2017,30,115
39.0,2017,30,116
49.0,2017,30,128
50.0,2017,30,129
52.0,2017,30,130
55.0,2017,30,131
58.0,2017,30,137
61.0,2017,30,138
63.0,2017,30,139
64.0,2017,30,140
65.0,2017,30,141
66.0,2017,30,142
70.0,2017,30,143
71.0,2017,30,144
72.0,2017,30,145
75.0,2017,30,146
76.0,2017,30,147
77.0,2017,30,148
93.0,2017,30,159
6.0,2018,2018,167
,2018,Durée,168
8.0,2018,30,170
11.0,2018,30,171
12.0,2018,30,172
13.0,2018,30,173
15.0,2018,30,174
17.0,2018,30,175
18.0,2018,30,176
21.0,2018,30,182
26.0,2018,EPNER,183
28.0,2018,30,184
33.0,2018,30,190
34.0,2018,30,191
35.0,2018,30,192
36.0,2018,30,193
37.0,2018,30,194
39.0,2018,30,195
50.0,2018,30,208
51.0,2018,30,209
53.0,2018,30,210
54.0,2018,30,211
55.0,2018,30,212
58.0,2018,30,218
59.0,2018,30,219
60.0,2018,30,220
61.0,2018,30,221
62.0,2018,EPNER,222
63.0,2018,30,223
64.0,2018,30,224
65.0,2018,30,225
66.0,2018,30,226
67.0,2018,30,227
70.0,2018,30,228
73.0,2018,EPNER,229
74.0,2018,30,230
75.0,2018,30,231
76.0,2018,30,232
77.0,2018,30,233
78.0,2018,30,234
82.0,2018,30,240
85.0,2018,30,241
93.0,2018,30,247
94.0,2018,30,248
6.0,2019,2019,255
,2019,Durée,256
8.0,2019,30,258
13.0,2019,30,259
14.0,2019,EPNER,260
17.0,2019,30,261
18.0,2019,30,262
19.0,2019,60,263
23.0,2019,30,270
24.0,2019,EPNER,271
26.0,2019,30,272
27.0,2019,30,273
28.0,2019,30,274
30.0,2019,30,275
37.0,2019,30,281
51.0,2019,60,294
52.0,2019,60,295
54.0,2019,30,296
60.0,2019,30,302
62.0,2019,30,303
72.0,2019,30,304
73.0,2019,30,305
78.0,2019,30,306
86.0,2019,30,312
6.0,2020,2020,324
,2020,Durée,325
8.0,2020,30,327
11.0,2020,30,328
12.0,2020,30,329
13.0,2020,30,330
14.0,2020,30,331
15.0,2020,30,332
16.0,2020,30,333
19.0,2020,30,334
21.0,2020,60,340
22.0,2020,30,341
23.0,2020,30,342
24.0,2020,30,343
27.0,2020,30,344
28.0,2020,30,345
29.0,2020,30,346
30.0,2020,60,347
33.0,2020,30,353
38.0,2020,30,354
39.0,2020,30,355
49.0,2020,60,369
50.0,2020,30,370
51.0,2020,30,371
52.0,2020,30,372
54.0,2020,30,373
55.0,2020,30,374
58.0,2020,30,380
60.0,2020,30,381
61.0,2020,0,382
65.0,2020,30,383
66.0,2020,30,384
72.0,2020,30,385
73.0,2020,30,386
75.0,2020,30,387
76.0,2020,30,388
77.0,2020,30,389
78.0,2020,30,390
86.0,2020,30,396
89.0,2020,1,402
6.0,2021,2021,409
,2021,Durée,410
11.0,2021,30,412
14.0,2021,30,413
17.0,2021,30,414
18.0,2021,30,415
19.0,2021,30,416
21.0,2021,30,422
24.0,2021,30,423
26.0,2021,30,424
32.0,2021,30,430
33.0,2021,30,431
34.0,2021,30,432
35.0,2021,30,433
36.0,2021,30,434
37.0,2021,30,435
38.0,2021,22.5,436
39.0,2021,30,437
49.0,2021,30,453
50.0,2021,30,454
53.0,2021,30,455
55.0,2021,30,456
58.0,2021,30,462
59.0,2021,30,463
61.0,2021,30,464
62.0,2021,30,465
63.0,2021,30,466
64.0,2021,30,467
65.0,2021,30,468
66.0,2021,30,469
67.0,2021,30,470
70.0,2021,30,471
73.0,2021,30,472
74.0,2021,30,473
75.0,2021,30,474
76.0,2021,30,475
77.0,2021,22.5,476
81.0,2021,30,482
82.0,2021,30,483
84.0,2021,30,484
85.0,2021,30,485
93.0,2021,30,491
94.0,2021,30,492
89.0,2021,30,493
6.0,2022,2022,502
,2022,Durée,503
8.0,2022,30,505
11.0,2022,30,506
13.0,2022,30,507
14.0,2022,30,508
16.0,2022,30,509
17.0,2022,30,510
18.0,2022,30,511
22.0,2022,30,518
23.0,2022,30,519
24.0,2022,30,520
26.0,2022,30,521
27.0,2022,30,522
28.0,2022,30,523
29.0,2022,30,524
30.0,2022,30,525
35.0,2022,30,531
36.0,2022,30,532
37.0,2022,30,533
49.0,2022,30,545
52.0,2022,30,546
54.0,2022,30,547
60.0,2022,30,553
62.0,2022,30,554
63.0,2022,30,555
64.0,2022,30,556
66.0,2022,30,557
70.0,2022,30,558
71.0,2022,30,559
72.0,2022,30,560
73.0,2022,60,561
75.0,2022,30,562
81.0,2022,30,568
82.0,2022,30,569
84.0,2022,30,570
86.0,2022,30,571
6.0,2023,2023,583
,2023,Durée,584
8.0,2023,30,586
10.0,2023,30,587
11.0,2023,30,588
12.0,2023,30,589
15.0,2023,30,590
16.0,2023,30,591
21.0,2023,30,598
22.0,2023,30,599
23.0,2023,30,600
27.0,2023,30,601
28.0,2023,30,602
29.0,2023,30,603
30.0,2023,30,604
33.0,2023,30,610
38.0,2023,30,611
49.0,2023,30,624
50.0,2023,30,625
51.0,2023,30,626
52.0,2023,30,627
54.0,2023,30,628
55.0,2023,30,629
